# x y z u(x,y,z)
0 0 0 0
0.1 0 0 0
0.3 0 0 0
0.5 0 0 0
0.7 0 0 0
0.9 0 0 0
1 0 0 0
0 0.1 0 0
0.1 0.1 0 0
0.3 0.1 0 0
0.5 0.1 0 0
0.7 0.1 0 0
0.9 0.1 0 0
1 0.1 0 0
0 0.3 0 0
0.1 0.3 0 0
0.3 0.3 0 0
0.5 0.3 0 0
0.7 0.3 0 0
0.9 0.3 0 0
1 0.3 0 0
0 0.5 0 0
0.1 0.5 0 0
0.3 0.5 0 0
0.5 0.5 0 0
0.7 0.5 0 0
0.9 0.5 0 0
1 0.5 0 0
0 0.7 0 0
0.1 0.7 0 0
0.3 0.7 0 0
0.5 0.7 0 0
0.7 0.7 0 0
0.9 0.7 0 0
1 0.7 0 0
0 0.9 0 0
0.1 0.9 0 0
0.3 0.9 0 0
0.5 0.9 0 0
0.7 0.9 0 0
0.9 0.9 0 0
1 0.9 0 0
0 1 0 0
0.1 1 0 0
0.3 1 0 0
0.5 1 0 0
0.7 1 0 0
0.9 1 0 0
1 1 0 0
0 0 0.1 0
0.1 0 0.1 0
0.3 0 0.1 0
0.5 0 0.1 0
0.7 0 0.1 0
0.9 0 0.1 0
1 0 0.1 0
0 0.1 0.1 0
0.1 0.1 0.1 0.001
0.3 0.1 0.1 0.003
0.5 0.1 0.1 0.005
0.7 0.1 0.1 0.007
0.9 0.1 0.1 0.009
1 0.1 0.1 0.01
0 0.3 0.1 0
0.1 0.3 0.1 0.003
0.3 0.3 0.1 0.009
0.5 0.3 0.1 0.015
0.7 0.3 0.1 0.021
0.9 0.3 0.1 0.027
1 0.3 0.1 0.03
0 0.5 0.1 0
0.1 0.5 0.1 0.005
0.3 0.5 0.1 0.015
0.5 0.5 0.1 0.025
0.7 0.5 0.1 0.035
0.9 0.5 0.1 0.045
1 0.5 0.1 0.05
0 0.7 0.1 0
0.1 0.7 0.1 0.007
0.3 0.7 0.1 0.021
0.5 0.7 0.1 0.035
0.7 0.7 0.1 0.049
0.9 0.7 0.1 0.063
1 0.7 0.1 0.07
0 0.9 0.1 0
0.1 0.9 0.1 0.009
0.3 0.9 0.1 0.027
0.5 0.9 0.1 0.045
0.7 0.9 0.1 0.063
0.9 0.9 0.1 0.081
1 0.9 0.1 0.09
0 1 0.1 0
0.1 1 0.1 0.01
0.3 1 0.1 0.03
0.5 1 0.1 0.05
0.7 1 0.1 0.07
0.9 1 0.1 0.09
1 1 0.1 0.1
0 0 0.3 0
0.1 0 0.3 0
0.3 0 0.3 0
0.5 0 0.3 0
0.7 0 0.3 0
0.9 0 0.3 0
